date,portfolio_value,cash,positions_count
2023-03-13,187117474,110,3
2023-03-14,188154799,110,3
2023-03-15,183597608,110,3
2023-03-16,181347763,110,3
2023-03-17,186182998,68,10
2023-03-20,189828867,53841715,9
2023-03-21,188935553,53841715,9
2023-03-22,188815299,53841715,9
2023-03-23,189202980,53841715,9
2023-03-24,185968084,2,12
2023-03-27,188827962,7467764,11
2023-03-28,188110165,7467764,11
2023-03-29,190127827,7467764,11
2023-03-30,192627541,7467764,11
2023-03-31,196629103,98,12
2023-04-03,195661866,98,12
2023-04-04,196625023,98,12
2023-04-05,195343161,98,12
2023-04-06,196240292,8431090,11
2023-04-11,198955445,34,10
2023-04-12,199531424,34,10
2023-04-13,200240957,34,10
2023-04-14,200934588,34,10
2023-04-17,202103937,34,10
2023-04-18,204513653,18,3
2023-04-19,206127511,18,3
2023-04-20,205504790,18,3
2023-04-21,205326461,18,3
2023-04-24,206324310,18,3
2023-04-25,204535388,18,3
2023-04-26,207859154,18,3
2023-04-27,209353780,18,3
2023-04-28,212464917,18,3
2023-05-02,208345448,18,3
2023-05-03,217886549,94,2
2023-05-04,214872359,94,2
2023-05-05,216341328,94,2
2023-05-08,215806875,94,2
2023-05-09,212160694,94,2
2023-05-10,210770541,94,2
2023-05-11,212919047,94,2
2023-05-12,212183573,94,2
2023-05-15,214462086,94,2
2023-05-16,213910789,94,2
2023-05-17,213359070,94,2
2023-05-19,214217170,94,2
2023-05-22,214537165,94,2
2023-05-23,215841630,94,2
2023-05-24,214765644,94,2
2023-05-25,213928253,94,2
2023-05-26,214636275,94,2
2023-05-29,213153263,94,2
2023-05-30,210504003,94,2
2023-05-31,207391336,94,2
2023-06-01,209545864,94,2
2023-06-02,212173271,94,2
2023-06-05,212283431,94,2
2023-06-07,214444619,94,2
2023-06-08,226495865,82102610,1
2023-06-09,228373605,17,4
2023-06-12,226918680,17,4
2023-06-13,228443009,17,4
2023-06-14,228451013,17,4
2023-06-15,227303848,17,4
2023-06-16,232843822,80,4
2023-06-19,230809009,80,4
2023-06-20,231426635,80,4
2023-06-21,230503376,80,4
2023-06-22,233899834,62737231,3
2023-06-26,243659663,7,3
2023-06-27,244164691,7,3
2023-06-28,246553002,7,3
2023-06-29,247975693,7,3
2023-06-30,248192123,7,3
2023-07-03,247828550,7,3
2023-07-04,249226720,7,3
2023-07-05,248498910,7,3
2023-07-06,245925080,7,3
2023-07-07,247513809,7,3
2023-07-10,245194673,7,3
2023-07-11,245702246,7,3
2023-07-12,246739957,7,3
2023-07-13,242528185,7,3
2023-07-14,243141449,7,3
2023-07-17,242099591,7,3
2023-07-18,233070966,7,3
2023-07-19,245029259,82286586,2
2023-07-20,245594874,82286586,2
2023-07-21,242367503,82286586,2
2023-07-24,244206844,87,3
2023-07-25,250309079,87,3
2023-07-26,250472002,87,3
2023-07-27,251119335,87,3
2023-07-28,250017280,87,3
2023-07-31,248258543,67,4
2023-08-01,245712207,67,4
2023-08-02,243689118,67,4
2023-08-03,252599215,87876847,3
2023-08-04,253547444,87876847,3
2023-08-07,253718616,147,10
2023-08-08,251591071,147,10
2023-08-09,253254557,147,10
2023-08-10,254839703,147,10
2023-08-11,254125667,147,10
2023-08-14,262271808,105,11
2023-08-15,259799607,105,11
